ID,DateTime,MilliSeconds,1,2
1,20220125T135326,0,140.30,142.10
2,20220125T135327,100,147.50,141.80
3,20220125T135327,200,140.00,148.90
4,20220125T135327,300,146.20,145.40
5,20220125T135327,400,146.30,144.30
6,20220125T135327,500,148.90,145.00
7,20220125T135327,600,143.50,141.50
8,20220125T135327,700,146.40,149.40
9,20220125T135327,800,146.30,145.80
10,20220125T135327,900,145.20,149.20
11,20220125T135327,1000,141.60,141.40
12,20220125T135328,1100,142.00,146.00
13,20220125T135328,1200,145.00,146.80
14,20220125T135328,1300,144.10,144.70
15,20220125T135328,1400,149.60,148.70
16,20220125T135328,1500,140.10,143.40
17,20220125T135328,1600,142.80,147.10
18,20220125T135328,1700,144.80,147.50
19,20220125T135328,1800,145.30,147.10
20,20220125T135328,1900,142.90,149.30
21,20220125T135328,2000,141.90,147.10
22,20220125T135329,2100,142.00,146.40
23,20220125T135329,2200,147.90,143.00
24,20220125T135329,2300,141.00,148.00
25,20220125T135329,2400,141.30,144.20
26,20220125T135329,2500,143.80,148.20
27,20220125T135329,2600,144.40,142.80
28,20220125T135329,2700,149.30,147.50
29,20220125T135329,2800,148.00,140.00
30,20220125T135329,2900,149.60,144.70
31,20220125T135329,3000,147.00,148.70
32,20220125T135330,3100,144.30,143.30
33,20220125T135330,3200,145.20,146.10
34,20220125T135330,3300,142.40,140.00
35,20220125T135330,3400,148.00,147.80
36,20220125T135330,3500,145.70,142.30
37,20220125T135330,3600,149.80,141.40
38,20220125T135330,3700,144.50,146.20
39,20220125T135330,3800,140.90,141.00
40,20220125T135330,3900,144.90,141.80
41,20220125T135330,4000,149.00,145.50
42,20220125T135331,4100,144.30,145.50
43,20220125T135331,4200,148.50,143.40
44,20220125T135331,4300,147.50,142.10
45,20220125T135332,4400,145.10,142.60
46,20220125T135332,4500,145.10,145.90
47,20220125T135332,4600,148.30,141.40
48,20220125T135332,4700,143.70,147.90
49,20220125T135332,4800,149.80,140.00
50,20220125T135332,4900,143.70,148.50
51,20220125T135332,5000,147.80,148.40
52,20220125T135333,5100,144.20,141.50
53,20220125T135333,5200,146.00,146.70
54,20220125T135333,5300,144.00,140.70
55,20220125T135333,5400,146.60,142.80
56,20220125T135333,5500,146.20,146.30
57,20220125T135333,5600,146.90,149.00
58,20220125T135333,5700,142.30,147.80
59,20220125T135333,5800,141.30,146.10
60,20220125T135333,5900,141.00,144.00
61,20220125T135333,6000,147.80,140.00
62,20220125T135334,6100,149.40,140.70
63,20220125T135334,6200,145.60,145.10
64,20220125T135334,6300,148.60,143.10
65,20220125T135334,6400,144.40,143.90
66,20220125T135334,6500,147.60,148.40
67,20220125T135334,6600,145.20,140.80
68,20220125T135334,6700,141.40,145.40
69,20220125T135334,6800,141.90,142.80
70,20220125T135334,6900,147.10,147.00
71,20220125T135334,7000,146.30,144.70
72,20220125T135335,7100,142.40,144.30
73,20220125T135335,7200,145.40,140.80
74,20220125T135335,7300,148.10,145.20
75,20220125T135335,7400,148.80,146.30
76,20220125T135335,7500,145.90,141.90
77,20220125T135335,7600,147.90,145.60
78,20220125T135335,7700,146.10,148.70
79,20220125T135335,7800,145.30,149.90
80,20220125T135335,7900,148.80,144.40
81,20220125T135335,8000,148.00,146.60
82,20220125T135336,8100,148.30,147.40
83,20220125T135336,8200,143.60,140.90
84,20220125T135336,8300,146.70,143.40
85,20220125T135336,8400,143.90,148.40
86,20220125T135336,8500,145.10,144.90
87,20220125T135336,8600,146.60,146.70
88,20220125T135336,8700,141.00,148.90
89,20220125T135336,8800,142.70,147.30
90,20220125T135336,8900,148.10,149.50
91,20220125T135336,9000,143.60,147.40
92,20220125T135337,9100,143.50,143.10
93,20220125T135337,9200,147.20,142.80
94,20220125T135337,9300,149.80,147.00
95,20220125T135337,9400,148.70,149.70
96,20220125T135337,9500,148.90,144.60
97,20220125T135337,9600,149.00,141.10
98,20220125T135337,9700,141.20,146.30
99,20220125T135337,9800,141.20,148.10
100,20220125T135337,9900,145.10,143.00
