ID,DateTime,MilliSeconds,1,2
1,20220125T135831,0,142.00,140.80
2,20220125T135832,100,142.40,144.70
3,20220125T135832,200,140.80,141.10
4,20220125T135832,300,149.70,140.00
5,20220125T135832,400,141.40,149.60
6,20220125T135832,500,149.90,144.50
7,20220125T135832,600,143.30,146.20
8,20220125T135832,700,143.90,145.40
9,20220125T135832,800,142.10,148.60
10,20220125T135832,900,143.60,141.00
11,20220125T135832,1000,146.20,147.30
12,20220125T135834,1100,149.30,143.50
13,20220125T135834,1200,148.80,147.10
14,20220125T135834,1300,143.80,142.10
15,20220125T135834,1400,149.10,141.30
16,20220125T135834,1500,146.00,145.70
17,20220125T135834,1600,149.20,144.30
18,20220125T135834,1700,147.50,146.80
19,20220125T135834,1800,141.30,141.50
20,20220125T135834,1900,143.60,149.10
21,20220125T135834,2000,144.70,146.90
22,20220125T135835,2100,143.20,143.40
23,20220125T135835,2200,142.80,144.30
24,20220125T135835,2300,147.90,140.60
25,20220125T135835,2400,145.40,140.70
26,20220125T135835,2500,143.70,140.30
27,20220125T135835,2600,142.10,144.70
28,20220125T135835,2700,143.40,144.90
29,20220125T135835,2800,141.60,145.90
30,20220125T135835,2900,143.80,145.00
31,20220125T135835,3000,148.30,148.60
32,20220125T135836,3100,149.60,148.50
33,20220125T135836,3200,142.40,142.20
34,20220125T135836,3300,146.30,148.10
35,20220125T135836,3400,141.20,145.10
36,20220125T135836,3500,140.20,149.50
37,20220125T135836,3600,143.60,145.40
38,20220125T135836,3700,140.80,148.00
39,20220125T135836,3800,143.10,143.00
40,20220125T135836,3900,149.50,141.40
41,20220125T135836,4000,141.20,143.60
42,20220125T135837,4100,143.70,140.90
43,20220125T135837,4200,148.50,141.90
44,20220125T135837,4300,148.10,141.00
45,20220125T135837,4400,140.80,140.90
46,20220125T135837,4500,143.90,146.70
47,20220125T135837,4600,141.90,146.60
48,20220125T135837,4700,149.90,142.00
49,20220125T135837,4800,141.50,147.70
50,20220125T135837,4900,142.20,144.20
51,20220125T135837,5000,148.00,148.10
52,20220125T135838,5100,148.50,143.00
53,20220125T135838,5200,142.50,143.60
54,20220125T135838,5300,149.40,144.50
55,20220125T135838,5400,140.20,143.30
56,20220125T135838,5500,148.00,145.60
57,20220125T135838,5600,143.40,141.70
58,20220125T135838,5700,148.10,148.10
59,20220125T135838,5800,145.80,140.50
60,20220125T135838,5900,149.20,146.00
61,20220125T135838,6000,145.10,140.10
62,20220125T135839,6100,144.20,144.40
63,20220125T135839,6200,143.50,145.50
64,20220125T135839,6300,147.20,144.30
65,20220125T135839,6400,142.20,141.30
66,20220125T135839,6500,144.10,148.10
67,20220125T135839,6600,147.90,141.80
68,20220125T135839,6700,146.00,142.90
69,20220125T135839,6800,145.50,148.20
70,20220125T135839,6900,146.40,143.20
71,20220125T135839,7000,141.30,149.50
72,20220125T135840,7100,142.80,140.40
73,20220125T135840,7200,145.50,141.10
74,20220125T135840,7300,148.10,141.00
75,20220125T135840,7400,140.40,145.10
76,20220125T135840,7500,141.60,146.10
77,20220125T135840,7600,146.40,140.50
78,20220125T135840,7700,142.20,141.30
79,20220125T135840,7800,144.30,143.60
80,20220125T135840,7900,141.80,149.40
81,20220125T135840,8000,148.80,144.30
82,20220125T135841,8100,143.90,140.20
83,20220125T135841,8200,144.30,147.00
84,20220125T135841,8300,141.90,141.20
85,20220125T135841,8400,141.70,143.20
86,20220125T135841,8500,148.20,149.70
87,20220125T135841,8600,145.90,147.30
88,20220125T135841,8700,149.00,141.90
89,20220125T135841,8800,141.00,141.10
90,20220125T135841,8900,141.50,147.80
91,20220125T135841,9000,144.20,144.50
92,20220125T135842,9100,147.00,146.20
93,20220125T135842,9200,140.80,148.30
94,20220125T135842,9300,149.90,140.90
95,20220125T135842,9400,141.30,145.00
96,20220125T135842,9500,145.10,146.50
97,20220125T135842,9600,140.20,141.70
98,20220125T135842,9700,145.30,149.90
99,20220125T135842,9800,141.60,148.40
100,20220125T135842,9900,146.90,144.20
