ID,DateTime,MilliSeconds,1,2
1,20220125T122028,0,144.90,144.20
2,20220125T122029,100,144.90,147.10
3,20220125T122029,200,141.00,147.90
4,20220125T122029,300,148.30,147.00
5,20220125T122029,400,144.00,142.30
6,20220125T122029,500,145.00,147.10
7,20220125T122029,600,142.90,141.80
8,20220125T122029,700,144.60,149.90
9,20220125T122029,800,143.00,142.10
10,20220125T122029,900,147.60,142.40
11,20220125T122029,1000,144.40,145.80
12,20220125T122030,1100,149.60,147.10
13,20220125T122030,1200,146.40,146.00
14,20220125T122030,1300,149.80,145.10
15,20220125T122030,1400,144.00,140.30
16,20220125T122030,1500,145.10,140.10
17,20220125T122030,1600,140.50,148.00
18,20220125T122030,1700,141.80,147.40
19,20220125T122030,1800,144.90,141.30
20,20220125T122030,1900,142.00,142.50
21,20220125T122030,2000,141.20,148.30
22,20220125T122031,2100,148.80,141.70
23,20220125T122031,2200,140.80,145.00
24,20220125T122031,2300,142.40,149.50
25,20220125T122031,2400,145.70,141.10
26,20220125T122031,2500,149.00,146.60
27,20220125T122031,2600,141.00,149.30
28,20220125T122031,2700,145.30,146.50
29,20220125T122031,2800,146.00,144.20
30,20220125T122031,2900,140.30,145.20
31,20220125T122031,3000,140.70,144.10
32,20220125T122032,3100,141.00,140.00
33,20220125T122032,3200,149.90,142.70
34,20220125T122032,3300,147.10,148.70
35,20220125T122032,3400,141.40,142.50
36,20220125T122032,3500,144.10,141.70
37,20220125T122032,3600,144.80,144.20
38,20220125T122032,3700,141.50,147.40
39,20220125T122032,3800,144.50,147.30
40,20220125T122032,3900,142.00,141.10
41,20220125T122033,4000,143.90,145.40
42,20220125T122033,4100,140.50,142.90
43,20220125T122033,4200,145.30,148.90
44,20220125T122033,4300,146.60,145.60
45,20220125T122033,4400,140.40,146.00
46,20220125T122033,4500,149.80,149.20
47,20220125T122033,4600,142.00,141.60
48,20220125T122033,4700,148.00,146.70
49,20220125T122033,4800,145.20,143.90
50,20220125T122033,4900,149.80,140.10
51,20220125T122034,5000,141.10,141.60
52,20220125T122034,5100,149.10,147.10
53,20220125T122034,5200,142.80,147.10
54,20220125T122034,5300,146.10,144.50
55,20220125T122034,5400,142.00,144.00
56,20220125T122034,5500,145.80,145.30
57,20220125T122034,5600,142.70,145.00
58,20220125T122034,5700,141.10,146.30
59,20220125T122034,5800,149.40,143.30
60,20220125T122034,5900,142.70,142.70
61,20220125T122035,6000,149.50,143.10
62,20220125T122035,6100,144.20,141.60
63,20220125T122035,6200,140.60,141.50
64,20220125T122035,6300,142.40,140.10
65,20220125T122035,6400,149.70,146.10
66,20220125T122035,6500,140.30,142.40
67,20220125T122035,6600,140.80,143.60
68,20220125T122035,6700,148.10,141.50
69,20220125T122035,6800,141.00,141.60
70,20220125T122035,6900,140.50,147.30
71,20220125T122036,7000,148.10,142.00
72,20220125T122036,7100,149.10,146.90
73,20220125T122036,7200,146.50,142.70
74,20220125T122036,7300,143.60,142.80
75,20220125T122036,7400,142.50,148.40
76,20220125T122036,7500,146.70,144.90
77,20220125T122036,7600,147.60,144.60
78,20220125T122036,7700,147.60,146.60
79,20220125T122036,7800,146.70,142.00
80,20220125T122036,7900,148.40,149.10
81,20220125T122037,8000,141.00,145.80
82,20220125T122037,8100,141.10,144.40
83,20220125T122037,8200,141.80,141.80
84,20220125T122037,8300,143.40,142.50
85,20220125T122037,8400,146.70,148.90
86,20220125T122037,8500,141.80,141.40
87,20220125T122037,8600,142.50,141.80
88,20220125T122037,8700,142.80,142.90
89,20220125T122037,8800,143.40,142.70
90,20220125T122037,8900,144.00,145.40
91,20220125T122038,9000,144.00,149.60
92,20220125T122038,9100,143.50,148.30
93,20220125T122038,9200,144.80,146.50
94,20220125T122038,9300,141.10,145.20
95,20220125T122038,9400,146.40,147.60
96,20220125T122038,9500,143.70,147.50
97,20220125T122038,9600,144.50,141.00
98,20220125T122038,9700,141.50,149.20
99,20220125T122038,9800,141.00,144.70
100,20220125T122038,9900,143.70,149.90
