ID,DateTime,MilliSeconds,1,2,3,4,5,6,7,8
1,20220105T131224,0,50.20,62.70,197.90,193.80,96.00,55.30,190.40,52.10
2,20220105T131226,100,153.90,149.80,23.70,105.70,131.10,101.70,21.70,134.00
3,20220105T131227,200,147.40,196.00,19.70,76.10,86.20,80.40,84.10,59.10
4,20220105T131229,300,42.10,128.30,94.30,125.00,169.50,154.30,116.40,70.10
5,20220105T131231,400,170.90,135.30,70.20,136.50,97.40,60.80,30.20,48.30
6,20220105T131232,500,190.40,195.20,35.70,131.00,25.70,186.50,120.40,110.10
7,20220105T131234,600,158.60,139.80,153.90,94.50,62.70,18.30,42.50,172.70
8,20220105T131236,700,99.40,152.20,58.80,15.60,31.40,130.00,79.60,115.40
9,20220105T131238,800,77.90,33.00,176.50,72.60,133.60,154.40,135.70,62.10
10,20220105T131239,900,195.10,23.40,67.70,82.40,50.70,64.40,35.80,15.40
11,20220105T131241,1000,66.00,72.60,145.40,196.10,93.40,29.60,146.80,81.50
12,20220105T131243,1100,50.10,197.10,21.30,32.10,195.50,153.00,65.50,18.40
13,20220105T131245,1200,192.80,158.10,176.50,192.30,96.90,195.70,52.00,21.20
14,20220105T131247,1300,165.80,33.40,89.40,179.30,109.50,75.20,199.20,182.60
15,20220105T131248,1400,184.00,147.10,95.00,138.70,119.10,89.80,64.70,87.00
16,20220105T131250,1500,95.40,122.20,55.80,25.50,13.40,111.70,84.10,44.80
17,20220105T131252,1600,59.90,188.00,12.00,12.30,50.60,84.80,187.20,152.00
18,20220105T131253,1700,82.00,147.10,149.30,161.30,136.30,136.80,125.80,171.80
19,20220105T131255,1800,74.50,89.30,123.80,154.20,41.60,88.40,25.00,97.10
20,20220105T131257,1900,106.60,68.00,186.20,132.20,196.20,77.90,100.70,46.70
21,20220105T131259,2000,97.40,18.80,12.80,37.30,127.10,78.40,94.40,88.70
22,20220105T131301,2100,42.20,197.00,198.70,11.40,133.40,135.70,75.80,192.20
23,20220105T131303,2200,147.80,31.10,82.80,120.90,126.60,127.30,178.90,121.60
24,20220105T131304,2300,162.00,93.70,115.10,30.10,189.10,50.90,140.30,65.90
25,20220105T131306,2400,23.10,96.50,111.60,113.20,143.40,28.70,150.60,116.60
26,20220105T131308,2500,122.90,198.70,15.00,66.80,129.20,73.70,23.30,159.20
27,20220105T131309,2600,174.70,163.40,74.20,139.80,52.80,43.50,178.40,139.80
28,20220105T131311,2700,194.30,42.30,105.70,143.00,183.80,150.50,24.50,91.50
29,20220105T131313,2800,135.10,11.80,33.30,95.80,169.90,44.40,191.20,195.10
30,20220105T131315,2900,98.30,107.20,49.30,143.80,71.60,197.10,20.90,35.60
31,20220105T131316,3000,37.40,190.30,68.30,141.90,193.10,81.00,130.40,85.50
32,20220105T131318,3100,91.30,80.90,84.30,35.60,176.20,141.60,114.20,72.00
33,20220105T131320,3200,81.50,36.50,165.60,190.60,110.40,35.60,170.00,55.90
34,20220105T131321,3300,57.10,37.80,168.70,31.40,179.80,54.80,145.40,49.70
35,20220105T131323,3400,108.80,15.70,30.20,106.30,19.00,170.40,36.10,198.90
36,20220105T131325,3500,47.70,134.10,73.30,108.20,54.30,173.20,36.20,32.00
37,20220105T131327,3600,78.10,43.60,28.00,65.10,26.40,197.30,139.60,72.80
38,20220105T131328,3700,153.20,197.10,35.90,103.30,83.30,160.40,165.10,68.60
39,20220105T131330,3800,14.40,93.70,30.50,46.70,54.70,133.40,98.20,138.70
40,20220105T131332,3900,34.90,32.60,32.30,155.90,183.20,53.90,110.60,29.10
