ID,DateTime,MilliSeconds,1,2,3,4,5,6,7,8
1,20220110T140018,0,155.80,139.00,105.80,110.80,66.30,68.10,188.90,140.40
2,20220110T140021,100,191.30,194.80,188.60,191.40,65.30,131.20,178.90,99.30
3,20220110T140021,200,185.60,124.00,179.90,106.90,176.00,191.00,124.00,22.20
4,20220110T140021,300,146.00,197.30,130.70,176.70,141.50,20.20,189.60,18.90
5,20220110T140021,400,104.50,156.80,152.40,76.80,53.80,86.80,182.40,111.80
6,20220110T140021,500,37.10,159.70,176.70,63.00,32.70,89.80,79.70,10.90
7,20220110T140021,600,39.90,186.90,19.50,39.70,131.00,25.80,27.00,182.30
8,20220110T140021,700,98.70,86.00,31.80,49.80,179.80,52.40,136.60,46.20
9,20220110T140021,800,77.40,28.30,79.10,132.40,30.50,176.90,183.90,30.10
10,20220110T140021,900,28.30,36.20,118.60,64.00,56.30,22.90,70.30,170.80
11,20220110T140021,1000,90.10,108.90,23.50,101.30,154.20,88.90,146.00,94.10
12,20220110T140023,1100,47.70,108.60,92.60,72.80,23.00,52.50,18.90,39.20
13,20220110T140023,1200,113.20,176.50,134.70,18.10,106.60,186.90,128.00,47.50
14,20220110T140023,1300,159.60,30.40,17.70,92.60,92.90,199.90,106.60,169.70
15,20220110T140023,1400,33.20,172.30,29.20,43.20,192.00,69.90,92.60,156.70
16,20220110T140023,1500,199.90,43.40,152.30,12.70,188.50,154.50,81.90,67.00
17,20220110T140023,1600,156.50,55.80,42.60,149.20,197.20,186.00,156.40,132.30
18,20220110T140023,1700,82.30,182.80,25.70,196.50,61.30,146.50,110.60,137.30
19,20220110T140023,1800,159.10,61.90,14.40,111.90,179.50,171.30,65.50,111.10
20,20220110T140023,1900,192.40,187.90,61.30,83.50,89.30,177.70,15.60,40.40
21,20220110T140023,2000,32.30,20.70,16.30,28.00,135.90,113.10,186.70,27.40
22,20220110T140025,2100,123.00,153.40,23.70,57.50,40.80,63.80,55.60,138.00
23,20220110T140025,2200,46.60,35.70,111.00,180.20,195.30,174.80,66.10,89.60
24,20220110T140025,2300,169.70,41.70,86.00,129.60,65.10,81.30,95.90,130.40
25,20220110T140025,2400,92.90,124.80,130.60,32.10,144.30,146.10,167.70,87.30
26,20220110T140025,2500,41.00,20.50,33.10,159.70,123.70,67.30,103.60,100.10
27,20220110T140025,2600,61.60,21.40,77.10,12.60,135.70,119.30,29.10,122.70
28,20220110T140025,2700,67.60,48.50,133.40,198.40,80.40,113.80,41.90,18.90
29,20220110T140025,2800,154.60,58.60,101.50,60.70,37.40,86.80,33.70,78.70
30,20220110T140025,2900,199.50,52.80,39.20,129.50,129.10,50.70,191.50,124.10
31,20220110T140025,3000,194.50,68.40,81.60,47.30,114.00,31.50,60.10,59.90
32,20220110T140027,3100,25.90,54.20,77.80,82.10,94.30,124.50,91.10,34.50
33,20220110T140027,3200,148.50,149.60,57.10,116.80,102.00,54.50,68.30,97.50
34,20220110T140027,3300,64.60,160.10,102.10,97.20,15.50,118.30,152.90,107.70
35,20220110T140027,3400,131.50,50.50,79.40,28.30,187.30,122.40,86.20,178.90
36,20220110T140027,3500,18.20,174.50,158.50,32.20,124.50,124.60,138.20,95.50
37,20220110T140027,3600,190.80,198.10,43.70,135.00,110.00,124.80,11.60,179.70
38,20220110T140027,3700,86.00,135.40,139.00,118.80,191.40,91.40,75.80,102.90
39,20220110T140027,3800,172.80,154.70,56.30,64.90,61.10,129.70,145.90,136.50
40,20220110T140027,3900,173.70,34.40,66.50,179.50,135.50,117.40,17.20,158.60
41,20220110T140027,4000,95.40,69.50,147.00,94.30,24.50,184.70,108.90,134.30
42,20220110T140029,4100,36.90,184.50,164.70,100.90,95.70,123.90,192.90,63.30
