ID,DateTime,MilliSeconds,1,2
1,20220125T174129,0,140.20,141.00
2,20220125T174130,100,141.90,141.00
3,20220125T174130,200,143.70,149.20
4,20220125T174130,300,143.60,144.80
5,20220125T174130,400,140.80,145.00
6,20220125T174130,500,143.30,141.90
7,20220125T174130,600,143.70,143.20
8,20220125T174130,700,149.40,149.30
9,20220125T174130,800,141.00,141.10
10,20220125T174130,900,140.50,145.80
11,20220125T174130,1000,140.70,145.30
12,20220125T174132,1100,147.40,146.40
13,20220125T174132,1200,140.70,140.20
14,20220125T174132,1300,141.40,146.90
15,20220125T174132,1400,143.90,141.40
16,20220125T174132,1500,148.70,149.50
17,20220125T174132,1600,144.80,146.70
18,20220125T174132,1700,141.30,146.70
19,20220125T174132,1800,146.00,145.30
20,20220125T174132,1900,147.00,148.30
21,20220125T174132,2000,145.60,146.80
22,20220125T174133,2100,142.60,140.00
23,20220125T174133,2200,142.20,143.70
24,20220125T174133,2300,149.90,147.10
25,20220125T174133,2400,149.60,141.70
26,20220125T174133,2500,144.10,145.80
27,20220125T174133,2600,143.50,148.80
28,20220125T174133,2700,147.10,147.30
29,20220125T174133,2800,140.70,142.00
30,20220125T174133,2900,149.20,149.30
31,20220125T174133,3000,145.20,148.90
32,20220125T174135,3100,141.30,142.80
33,20220125T174135,3200,140.30,149.80
34,20220125T174135,3300,141.70,145.00
35,20220125T174135,3400,148.80,144.60
36,20220125T174135,3500,144.30,146.50
37,20220125T174135,3600,148.80,141.10
38,20220125T174135,3700,146.60,144.30
39,20220125T174135,3800,143.80,140.40
40,20220125T174135,3900,146.70,145.70
41,20220125T174135,4000,142.20,144.60
42,20220125T174136,4100,143.10,140.30
43,20220125T174136,4200,142.00,142.70
44,20220125T174136,4300,146.40,145.10
45,20220125T174136,4400,140.50,142.90
46,20220125T174136,4500,144.20,141.60
47,20220125T174136,4600,148.80,145.00
48,20220125T174136,4700,148.50,140.20
49,20220125T174136,4800,147.30,144.50
50,20220125T174136,4900,149.70,141.50
51,20220125T174136,5000,145.20,148.80
52,20220125T174138,5100,148.60,142.80
53,20220125T174138,5200,141.70,142.20
54,20220125T174138,5300,142.30,142.60
55,20220125T174138,5400,149.60,146.10
56,20220125T174138,5500,147.90,148.40
57,20220125T174138,5600,144.20,149.00
58,20220125T174138,5700,149.70,142.80
59,20220125T174138,5800,141.10,144.30
60,20220125T174138,5900,144.40,145.20
61,20220125T174138,6000,142.50,143.80
62,20220125T174139,6100,147.20,148.70
63,20220125T174139,6200,145.70,141.50
64,20220125T174141,6300,142.70,146.10
65,20220125T174141,6400,148.20,147.70
66,20220125T174141,6500,144.40,142.80
67,20220125T174141,6600,141.30,143.50
68,20220125T174141,6700,140.10,143.90
69,20220125T174141,6800,142.30,142.30
70,20220125T174141,6900,146.40,149.10
71,20220125T174141,7000,145.80,145.90
72,20220125T174141,7100,144.30,144.80
73,20220125T174141,7200,142.70,145.20
74,20220125T174141,7300,143.30,140.80
75,20220125T174141,7400,144.10,142.10
76,20220125T174141,7500,149.90,146.90
77,20220125T174141,7600,143.00,148.10
78,20220125T174141,7700,147.60,141.30
79,20220125T174141,7800,140.70,145.40
80,20220125T174141,7900,149.80,146.90
81,20220125T174141,8000,141.50,148.00
82,20220125T174141,8100,144.70,142.70
83,20220125T174141,8200,147.50,148.80
84,20220125T174141,8300,148.60,146.40
85,20220125T174141,8400,144.70,140.60
86,20220125T174141,8500,143.80,142.70
87,20220125T174141,8600,140.20,143.10
88,20220125T174141,8700,147.90,145.70
89,20220125T174141,8800,144.60,142.70
90,20220125T174141,8900,144.00,143.80
91,20220125T174141,9000,144.10,144.20
92,20220125T174141,9100,140.20,146.50
93,20220125T174141,9200,146.90,141.10
94,20220125T174141,9300,140.80,140.20
95,20220125T174141,9400,144.30,147.30
96,20220125T174141,9500,148.00,143.60
97,20220125T174141,9600,140.20,146.40
98,20220125T174141,9700,147.00,140.10
99,20220125T174141,9800,148.70,144.00
100,20220125T174141,9900,140.80,145.50
