ID,DateTime,MilliSeconds,7,36,56,58,64,66,86,115
1,20211214T110456,0ms,10.90,109.20,155.00,195.20,97.10,66.20,120.20,57.90
2,20211214T110456,100ms,92.80,54.90,100.10,175.60,192.70,21.10,22.60,10.90
3,20211214T110456,200ms,71.50,141.50,149.40,171.10,116.60,15.70,77.10,93.00
4,20211214T110456,300ms,107.30,92.80,190.70,60.00,180.00,178.10,113.20,150.50
5,20211214T110456,400ms,43.40,159.30,61.70,199.80,108.70,130.80,18.90,124.20
6,20211214T110456,500ms,24.10,55.00,76.10,76.20,191.00,48.20,92.10,141.50
7,20211214T110456,600ms,75.60,98.50,11.50,88.10,133.50,157.00,77.90,133.20
8,20211214T110457,700ms,145.80,191.40,40.10,148.40,142.90,50.60,51.70,153.50
9,20211214T110457,800ms,194.00,147.70,141.00,136.30,192.70,156.30,46.90,151.50
10,20211214T110457,900ms,39.30,108.90,149.60,188.40,96.40,112.80,183.70,18.70
11,20211214T110457,1000ms,37.70,37.60,167.20,111.50,15.60,147.10,27.10,64.00
12,20211214T110457,1100ms,40.00,175.50,188.70,127.80,114.10,67.60,67.90,174.10
13,20211214T110457,1200ms,127.30,159.50,119.40,106.70,36.10,75.50,12.50,93.60
14,20211214T110457,1300ms,158.10,18.00,184.80,110.20,110.90,118.80,21.70,46.00
15,20211214T110457,1400ms,170.00,15.70,195.30,123.80,112.40,85.20,89.00,18.10
16,20211214T110457,1500ms,65.50,124.70,22.10,185.60,16.60,128.00,83.50,67.50
17,20211214T110457,1600ms,54.70,37.90,171.40,153.50,129.30,173.50,114.90,147.90
18,20211214T110457,1700ms,74.60,104.30,168.60,85.80,85.10,121.20,106.90,104.80
19,20211214T110458,1800ms,119.70,136.60,191.60,38.50,32.90,26.10,126.10,83.30
20,20211214T110458,1900ms,155.60,158.40,185.50,57.10,166.40,178.70,97.30,121.00
21,20211214T110458,2000ms,97.60,82.10,18.40,136.50,72.00,36.00,154.30,127.20
22,20211214T110458,2100ms,133.70,29.50,30.60,45.10,57.90,55.40,49.10,125.50
