ID,DateTime,MilliSeconds,1,2,3,4,5,6,7,8
1,20220110T141512,0,167.30,87.60,116.80,197.40,108.30,167.80,122.50,189.90
2,20220110T141514,100,25.30,196.80,58.50,90.30,154.10,66.20,113.60,28.10
3,20220110T141514,200,96.30,154.10,17.70,127.70,87.20,81.20,160.10,138.80
4,20220110T141514,300,77.50,27.50,108.10,112.00,26.40,81.10,173.70,150.70
5,20220110T141514,400,59.10,173.50,60.40,49.50,193.60,90.30,68.20,195.50
6,20220110T141514,500,15.50,30.90,122.30,34.70,132.10,172.40,155.20,82.30
7,20220110T141514,600,163.10,134.50,26.10,78.50,32.20,124.40,175.30,146.60
8,20220110T141514,700,109.10,50.10,156.00,164.70,97.30,77.40,56.60,95.00
9,20220110T141514,800,108.40,174.40,109.70,161.30,153.20,60.00,199.00,184.90
10,20220110T141514,900,50.00,188.60,18.50,156.00,143.30,49.80,148.60,168.60
11,20220110T141514,1000,130.20,98.30,25.80,172.00,162.20,118.40,46.10,171.70
12,20220110T141516,1100,22.80,175.90,40.40,34.10,80.80,196.20,37.90,63.00
13,20220110T141516,1200,114.70,176.10,87.10,146.00,55.40,42.90,83.70,43.10
14,20220110T141516,1300,175.30,80.50,81.50,133.70,197.10,108.30,177.20,12.60
15,20220110T141516,1400,171.60,30.80,135.00,36.10,132.80,183.60,188.50,62.00
16,20220110T141516,1500,23.20,154.90,23.30,195.40,35.70,193.10,198.20,96.50
17,20220110T141516,1600,98.60,65.20,160.00,52.40,146.40,84.30,73.30,54.60
18,20220110T141516,1700,176.60,72.10,23.30,70.70,136.70,40.80,102.50,57.30
19,20220110T141516,1800,31.00,73.30,103.40,35.50,86.70,55.90,169.80,12.20
20,20220110T141516,1900,38.00,168.40,155.70,128.90,65.90,54.10,157.70,177.00
21,20220110T141516,2000,162.40,162.30,138.30,29.70,10.70,99.70,106.80,163.60
22,20220110T141517,2100,178.50,99.80,39.00,50.30,153.40,147.20,12.30,183.60
23,20220110T141517,2200,125.10,196.90,135.80,194.90,158.80,16.10,19.10,173.20
24,20220110T141518,2300,95.60,169.90,28.20,133.80,121.30,41.30,47.20,124.10
25,20220110T141518,2400,136.50,40.40,140.60,127.70,47.80,186.30,17.80,151.30
26,20220110T141518,2500,123.50,81.90,37.00,192.50,141.70,94.80,199.60,105.80
27,20220110T141518,2600,198.70,27.40,185.90,161.80,99.50,35.80,78.60,143.50
28,20220110T141518,2700,78.50,22.90,178.10,64.40,38.30,195.30,90.00,45.00
29,20220110T141518,2800,88.30,190.70,114.50,26.10,59.80,84.70,145.60,50.80
30,20220110T141518,2900,65.20,13.50,97.70,78.30,15.10,14.60,29.20,102.40
31,20220110T141518,3000,162.80,179.70,146.70,75.70,15.40,83.80,196.30,45.90
32,20220110T141519,3100,68.50,176.70,13.00,82.40,146.20,41.00,166.00,59.90
33,20220110T141519,3200,114.60,74.30,24.90,145.80,67.40,57.10,98.10,152.40
34,20220110T141519,3300,158.00,105.20,122.70,199.40,90.30,87.00,183.50,120.00
35,20220110T141519,3400,138.00,170.20,129.40,42.10,26.20,197.80,197.00,67.00
36,20220110T141519,3500,26.60,44.50,87.10,183.40,198.30,162.00,58.20,105.80
37,20220110T141519,3600,123.00,139.60,198.00,184.90,108.90,162.40,174.10,167.80
38,20220110T141519,3700,185.00,110.70,14.30,79.90,79.60,133.70,137.40,63.30
39,20220110T141519,3800,199.90,23.10,164.10,91.50,60.30,11.70,23.30,121.50
40,20220110T141519,3900,48.10,171.00,58.30,66.10,70.10,42.80,29.50,184.90
41,20220110T141519,4000,99.90,34.90,113.20,172.50,71.50,41.30,169.50,140.70
42,20220110T141521,4100,37.50,90.80,182.80,51.40,24.10,19.10,58.00,22.60
43,20220110T141521,4200,67.60,60.00,102.70,60.30,50.60,126.30,85.30,144.30
44,20220110T141521,4300,175.00,72.70,186.70,161.90,74.70,61.00,183.90,69.50
45,20220110T141521,4400,97.00,54.90,98.40,184.30,119.40,97.80,17.30,44.80
46,20220110T141521,4500,26.90,47.40,14.90,165.60,192.70,35.60,148.10,36.30
47,20220110T141521,4600,155.80,145.30,92.20,21.20,121.80,116.60,187.60,134.50
48,20220110T141521,4700,199.90,87.20,105.80,182.00,47.10,28.00,65.20,137.20
49,20220110T141521,4800,189.10,98.50,11.30,169.90,130.80,11.60,17.60,39.50
50,20220110T141521,4900,124.50,104.00,32.30,122.80,15.90,169.90,58.80,134.60
51,20220110T141521,5000,60.70,82.40,92.30,186.30,80.20,183.10,81.30,65.20
52,20220110T141523,5100,37.90,146.90,178.60,180.00,79.80,97.60,104.00,115.90
53,20220110T141523,5200,10.70,39.40,10.10,50.00,197.70,114.70,148.30,104.70
54,20220110T141523,5300,155.00,116.80,172.70,147.80,90.20,117.20,43.40,103.70
55,20220110T141523,5400,142.50,17.70,141.80,113.60,141.50,120.30,143.50,188.70
56,20220110T141523,5500,100.00,163.60,120.90,32.90,134.40,94.70,33.50,64.00
57,20220110T141523,5600,27.20,73.30,179.60,89.20,176.40,168.50,76.50,19.90
58,20220110T141523,5700,108.00,93.30,144.70,49.70,143.50,198.80,78.80,99.00
59,20220110T141523,5800,157.20,164.90,41.40,135.50,27.70,71.60,123.60,169.30
60,20220110T141523,5900,195.30,164.10,167.20,126.90,180.00,28.10,140.40,45.20
